global_step,loss,wall_time_unix
3464,9.00000000,1778474694.891612
3469,9.06250000,1778474770.926449
3474,9.12500000,1778474845.872031
3479,9.12500000,1778474920.966071
3484,8.93750000,1778474995.257744
3489,9.18750000,1778475069.737790
3494,9.00000000,1778475145.198622
3499,8.87500000,1778475219.920123
3504,9.00000000,1778475296.397875
3509,9.25000000,1778475371.381928
3514,9.00000000,1778475447.212505
3519,8.87500000,1778475522.699589
3524,9.25000000,1778475598.139908
3529,8.87500000,1778475674.247776
3534,9.06250000,1778475749.649107
3539,9.12500000,1778475825.754321
3544,8.87500000,1778475900.443823
3549,9.18750000,1778475976.318127
3554,9.18750000,1778476050.936891
3559,9.25000000,1778476126.619262
3564,8.56250000,1778476200.897780
3569,8.93750000,1778476275.483443
3574,9.12500000,1778476350.431153
3579,9.12500000,1778476425.304355
3584,9.12500000,1778476501.324030
3589,9.12500000,1778476575.963515
3594,9.00000000,1778476651.480597
3599,8.87500000,1778476726.992485
3604,8.81250000,1778476802.502811
3609,9.37500000,1778476877.779466
3614,8.87500000,1778476953.668509
3619,8.87500000,1778477029.954264
3624,9.00000000,1778477105.191284
3629,9.12500000,1778477182.774993
3634,9.00000000,1778477258.772761
3639,9.12500000,1778477334.178037
3644,8.87500000,1778477409.258340
3649,9.00000000,1778477484.604709
3654,8.87500000,1778477559.001205
3659,8.87500000,1778477632.991776
3664,9.00000000,1778477708.326056
3669,9.25000000,1778477782.908496
3674,8.75000000,1778477858.993438
3679,9.18750000,1778477935.481628
3684,9.12500000,1778478010.725340
3689,8.93750000,1778478087.199853
3694,9.25000000,1778478161.871478
3699,8.87500000,1778478236.644644
3704,9.12500000,1778478311.417293
3709,8.87500000,1778478387.203834
3714,8.87500000,1778478462.481403
3719,8.93750000,1778478537.358297
3724,9.06250000,1778478612.499501
3729,9.06250000,1778478688.596677
3734,8.81250000,1778478764.822319
3739,9.06250000,1778478841.165340
3744,8.93750000,1778478917.043867
3749,9.12500000,1778478991.763670
3754,9.12500000,1778479067.727459
3759,9.12500000,1778479144.196683
3764,8.81250000,1778479218.475942
3769,9.00000000,1778479293.741456
3774,9.00000000,1778479368.689049
3779,8.93750000,1778479443.539950
3784,9.12500000,1778479518.952963
3789,9.25000000,1778479593.443445
3794,9.00000000,1778479669.138305
3799,8.75000000,1778479744.316001
3804,9.12500000,1778479819.188042
3809,9.00000000,1778479894.115652
3814,9.00000000,1778479969.780287
3819,9.06250000,1778480044.863930
3824,8.93750000,1778480120.889153
3829,9.00000000,1778480196.248940
3834,9.00000000,1778480271.631030
3839,9.00000000,1778480345.473647
3844,9.00000000,1778480420.000805
3849,9.00000000,1778480494.305498
3854,9.06250000,1778480569.931537
3859,9.25000000,1778480644.814374
3864,8.81250000,1778480719.578252
3869,9.25000000,1778480794.940495
3874,9.12500000,1778480869.558098
3879,9.00000000,1778480944.163020
3884,8.93750000,1778481019.226438
3889,9.12500000,1778481094.672809
3894,9.00000000,1778481169.802203
3899,9.18750000,1778481243.772231
3904,8.93750000,1778481318.495282
3909,9.12500000,1778481393.575936
3914,9.25000000,1778481468.855207
3919,8.75000000,1778481543.192042
3924,9.25000000,1778481618.404186
3929,9.18750000,1778481692.964796
3934,9.00000000,1778481769.273475
3939,9.12500000,1778481844.052288
3944,9.00000000,1778481920.878253
3949,8.93750000,1778481997.198144
3954,9.31250000,1778482072.825056
3959,8.87500000,1778482148.850367
3964,9.00000000,1778482225.017632
3969,9.00000000,1778482300.672194
3974,9.37500000,1778482375.602589
3979,9.00000000,1778482452.256720
3984,9.06250000,1778482529.503004
3989,9.00000000,1778482605.188387
3994,9.12500000,1778482684.601840
3999,9.12500000,1778482763.040328
4004,9.12500000,1778482841.673317
4009,9.00000000,1778482920.223052
4014,8.87500000,1778482996.709952
4019,8.87500000,1778483072.840902
4024,9.12500000,1778483148.202277
4029,9.00000000,1778483223.638727
4034,9.06250000,1778483299.360672
4039,9.12500000,1778483375.166651
4044,9.12500000,1778483450.600347
4049,9.25000000,1778483526.123370
4054,9.37500000,1778483603.522797
4059,8.93750000,1778483679.863793
4064,8.87500000,1778483755.502691
4069,9.06250000,1778483830.646490
4074,9.00000000,1778483906.190681
4079,9.18750000,1778483982.455909
4084,9.12500000,1778484059.034234
4089,9.12500000,1778484134.505347
4094,8.93750000,1778484210.903372
4099,9.00000000,1778484285.801926
4104,9.00000000,1778484362.436482
4109,8.75000000,1778484438.411515
4114,9.12500000,1778484514.347481
4119,9.00000000,1778484589.803247
4124,8.87500000,1778484666.564436
4129,9.12500000,1778484742.411795
4134,9.12500000,1778484817.991883
4139,9.25000000,1778484892.168012
4144,9.00000000,1778484969.187887
4149,9.00000000,1778485044.783382
